30,1
41,1
50,1
22,1
33,1
44,1
40,1
55,0
49,1
51,1
27,1
39,1
26,1
38,1
36,1
50,1
23,1
24,1
35,1
43,0
54,0
22,1
46,1
45,1
19,1
20,1
42,1
46,1
22,1
46,1
34,1
27,1
24,1
47,1
44,1
39,1
28,1
29,1
31,1
37,1
31,1
33,0
22,1
29,1
28,1
24,1
26,1
33,1
37,1
47,1
47,1
50,1
34,1
33,1
23,1
20,1
40,1
56,1
21,1
45,0
44,1
35,1
27,1
44,1
48,0
46,1
22,1
52,1
29,1
41,1
23,1
48,1
20,1
51,1
30,1
30,1
39,1
35,1
43,0
29,1
28,1
28,1
45,0
54,1
51,0
28,1
35,1
20,1
47,1
41,1
38,0
47,0
19,1
25,1
30,1
45,1
34,1
27,1
57,1
40,1
26,1
39,1
31,1
22,1
37,1
53,0
23,1
53,0
42,1
43,1
37,1
49,1
42,1
21,1
36,1
52,1
25,1
53,0
30,1
49,1
37,1
46,0
41,0
46,1
36,1
29,1
27,1
37,1
21,1
37,0
41,1
39,1
30,1
42,0
24,1
22,1
47,1
44,1
33,1
24,0
24,1
29,1
44,0
22,1
43,1
31,1
40,1
40,1
21,1
37,1
24,1
50,0
49,1
38,1
44,1
46,1
36,1
48,0
42,1
34,1
53,0
49,0
29,1
37,0
28,1
32,1
33,1
36,1
35,0
26,1
51,0
44,0
20,1
41,1
35,0
29,1
20,1
48,1
50,0
26,1
34,1
22,1
51,0
24,1
53,1
31,1
39,0
26,1
23,1
30,0
38,1
29,1
48,0
23,1
46,0
53,1
23,1
38,1
28,1
55,0
34,1
38,1
26,1
53,1
37,1
41,1
46,1
29,1
32,1
23,1
46,1
38,1
43,1
41,1
42,1
34,1
31,1
38,1
41,1
27,1
38,1
29,1
39,1
37,1
30,1
54,0
49,1
23,1
38,1
26,1
57,0
35,1
50,1
48,1
36,1
39,1
32,1
33,1
49,1
47,0
33,1
36,1
27,1
58,1
48,1
29,1
21,1
53,0
23,1
43,1
23,1
48,1
43,1
29,0
34,1
33,1
32,1
24,1
48,1
44,1
33,1
37,1
41,1
46,0
48,1
34,0
39,0
53,1
27,1
52,1
36,1
48,1
45,1
37,1
53,1
48,1
